time_mult,mem_div,n_through,e_through,time,batch_size
31852,1000,1137.5714285714287,None,1.067,1
31885,1000,1138.75,None,1.097,1
31912,1000,1139.7142857142858,None,1.093,1
32335,1000,1154.8214285714287,None,1.123,1
32768,1000,1170.2857142857142,None,1.138,1
33221,1000,1186.4642857142858,None,1.053,1
33425,1000,1193.75,None,1.041,1
33966,1000,1171.2413793103449,None,1.016,1
34492,1000,1189.3793103448277,None,1.072,1
34597,1000,1193.0,None,1.043,1
35015,1000,1129.516129032258,None,1.093,1
35318,1000,1139.2903225806451,None,1.142,1
36040,1000,1162.5806451612902,None,1.069,1
36214,1000,1168.1935483870968,None,1.118,1
36392,1000,1173.9354838709678,None,1.068,1
37083,1000,1196.225806451613,None,1.081,1
37503,1000,1171.96875,None,1.113,1
37589,1000,1174.65625,None,1.09,1
37982,1000,1186.9375,None,1.085,1
38185,1000,1193.28125,None,1.065,1
38815,1000,1176.2121212121212,None,1.068,1
40192,1000,1182.1176470588234,None,1.111,1
41241,1000,1178.3142857142857,None,1.074,1
41586,1000,1188.1714285714286,None,1.138,1
43323,1000,1170.8918918918919,None,1.093,1
43385,1000,1172.5675675675675,None,1.117,1
43391,1000,1172.7297297297298,None,1.101,1
43601,1000,1178.4054054054054,None,1.108,1
43897,1000,1186.4054054054054,None,1.102,1
47373,1000,1184.325,None,1.104,1
47551,1000,1188.775,None,1.065,1
47556,1000,1188.9,None,1.082,1
48217,1000,1176.0243902439024,None,1.028,1
48517,1000,1183.341463414634,None,1.066,1
48571,1000,1184.658536585366,None,1.095,1
49675,1000,1182.7380952380952,None,1.061,1
50666,1000,1178.2790697674418,None,1.039,1
50756,1000,1180.3720930232557,None,1.042,1
51141,1000,1189.3255813953488,None,1.023,1
51685,1000,1174.659090909091,None,1.032,1
51776,1000,1176.7272727272727,None,1.03,1
51890,1000,1179.3181818181818,None,1.033,1
52129,1000,1184.75,None,0.996,1
52909,1000,1175.7555555555555,None,1.078,1
54416,1000,1182.9565217391305,None,1.02,1
54714,1000,1189.4347826086957,None,1.019,1
55398,1000,1178.6808510638298,None,1.007,1
55732,1000,1185.787234042553,None,1.041,1
55875,1000,1188.8297872340424,None,1.05,1
55952,1000,1190.468085106383,None,1.029,1
56421,1000,1200.4468085106382,None,1.012,1
57139,1000,1190.3958333333333,None,0.989,1
57421,1000,1196.2708333333333,None,0.985,1
57690,1000,1201.875,None,1.01,1
58025,1000,1184.1836734693877,None,1.019,1
59172,1000,1183.44,None,1.024,1
60118,1000,1178.7843137254902,None,1.035,1
61810,1000,1188.6538461538462,None,1.067,1
61963,1000,1191.5961538461538,None,1.007,1
62384,1000,1199.6923076923076,None,1.015,1
62501,1000,1179.2641509433963,None,1.024,1
62978,1000,1188.2641509433963,None,1.005,1
63125,1000,1191.0377358490566,None,1.021,1
64027,1000,1185.6851851851852,None,1.063,1
64218,1000,1189.2222222222222,None,1.062,1
64463,1000,1193.7592592592594,None,1.072,1
64908,1000,1180.1454545454546,None,1.005,1
65496,1000,1190.8363636363636,None,1.01,1
65536,1000,1191.5636363636363,None,1.01,1
65861,1000,1197.4727272727273,None,1.012,1
67180,1000,1199.642857142857,None,1.07,1
72328,1000,1185.704918032787,None,1.035,1
72663,1000,1191.1967213114754,None,1.031,1
73449,1000,1184.6612903225807,None,1.048,1
74586,1000,1183.904761904762,None,1.013,1
75259,1000,1194.5873015873017,None,1.057,1
75839,1000,1184.984375,None,1.036,1
76018,1000,1187.78125,None,1.022,1
76148,1000,1189.8125,None,0.997,1
76820,1000,1200.3125,None,1.08,1
77183,1000,1187.4307692307693,None,1.074,1
77426,1000,1191.1692307692308,None,1.004,1
78329,1000,1186.8030303030303,None,1.006,1
78786,1000,1193.7272727272727,None,1.037,1
79214,1000,1200.2121212121212,None,1.018,1
80420,1000,1200.2985074626865,None,1.03,1
80482,1000,1201.2238805970148,None,1.066,1
81122,1000,1192.9705882352941,None,1.009,1
82457,1000,1195.0289855072465,None,1.05,1
82741,1000,1199.144927536232,None,1.016,1
84098,1000,1201.4,None,1.071,1
90481,1000,1190.5394736842106,None,0.999,1
92463,1000,1200.8181818181818,None,1.009,1
94220,1000,1192.6582278481012,None,1.039,1
95232,1000,1190.4,None,1.003,1
97386,1000,1187.6341463414635,None,1.005,1
98880,1000,1191.3253012048192,None,1.024,1
99905,1000,1189.345238095238,None,1.016,1
99917,1000,1189.4880952380952,None,1.028,1
100250,1000,1193.452380952381,None,1.032,1
100998,1000,1188.2117647058824,None,1.02,1
102183,1000,1188.1744186046512,None,0.993,1
103209,1000,1200.1046511627908,None,1.086,1
103258,1000,1200.6744186046512,None,1.007,1
104812,1000,1191.0454545454545,None,1.064,1
104997,1000,1193.1477272727273,None,1.057,1
106766,1000,1199.6179775280898,None,1.012,1
107555,1000,1195.0555555555557,None,1.072,1
107727,1000,1196.9666666666667,None,1.021,1
109641,1000,1191.75,None,1.017,1
110752,1000,1190.8817204301076,None,1.023,1
112111,1000,1192.6702127659576,None,1.007,1
112809,1000,1200.095744680851,None,1.021,1
113571,1000,1195.4842105263158,None,1.056,1
115205,1000,1200.0520833333333,None,1.015,1
117992,1000,1191.8383838383838,None,1.019,1
120810,1000,1196.1386138613861,None,1.06,1
121912,1000,1195.2156862745098,None,1.0,1
122451,1000,1200.5,None,1.074,1
123901,1000,1191.3557692307693,None,0.998,1
123955,1000,1191.875,None,1.022,1
124511,1000,1197.2211538461538,None,0.997,1
124679,1000,1198.8365384615386,None,1.056,1
125551,1000,1195.7238095238095,None,1.034,1
125570,1000,1195.904761904762,None,1.02,1
126166,1000,1201.5809523809523,None,1.048,1
126339,1000,1191.877358490566,None,1.024,1
126537,1000,1193.745283018868,None,1.018,1
127916,1000,1195.4766355140187,None,1.03,1
128067,1000,1196.8878504672898,None,1.06,1
129200,1000,1196.2962962962963,None,1.053,1
130075,1000,1193.348623853211,None,1.024,1
131072,1000,1191.5636363636363,None,1.064,1
131551,1000,1195.918181818182,None,1.008,1
132397,1000,1192.7657657657658,None,1.011,1
133288,1000,1200.7927927927929,None,1.03,1
134981,1000,1194.5221238938052,None,1.028,1
137841,1000,1198.6173913043478,None,1.025,1
138838,1000,1196.8793103448277,None,1.021,1
141949,1000,1192.8487394957983,None,1.067,1
145030,1000,1198.595041322314,None,1.084,1
145672,1000,1194.032786885246,None,1.08,1
147102,1000,1195.9512195121952,None,1.009,1
151863,1000,1195.7716535433071,None,1.035,1
153274,1000,1197.453125,None,1.022,1
154571,1000,1198.2248062015503,None,1.045,1
155043,1000,1201.8837209302326,None,1.102,1
158081,1000,1197.5833333333333,None,1.041,1
158271,1000,1199.0227272727273,None,1.051,1
161671,1000,1197.562962962963,None,1.05,1
162415,1000,1194.2279411764705,None,1.02,1
171307,1000,1197.951048951049,None,1.011,1
172220,1000,1195.9722222222222,None,1.009,1
176309,1000,1199.3809523809523,None,1.02,1
179383,1000,1195.8866666666668,None,1.08,1
179950,1000,1199.6666666666667,None,0.995,1
180057,1000,1200.38,None,1.075,1
180443,1000,1194.9867549668875,None,1.003,1
181457,1000,1201.7019867549668,None,1.073,1
182346,1000,1199.6447368421052,None,1.024,1
193829,1000,1196.4753086419753,None,1.016,1
197040,1000,1201.4634146341464,None,1.039,1
197704,1000,1198.2060606060606,None,1.011,1
200847,1000,1195.517857142857,None,1.012,1
202304,1000,1197.0650887573966,None,1.05,1
205287,1000,1200.5087719298247,None,1.041,1
205888,1000,1197.0232558139535,None,1.043,1
210710,1000,1197.215909090909,None,1.031,1
211177,1000,1199.8693181818182,None,1.035,1
213154,1000,1197.4943820224719,None,0.977,1
213160,1000,1197.5280898876404,None,1.039,1
214422,1000,1197.8882681564246,None,0.99,1
221938,1000,1199.664864864865,None,1.016,1
223067,1000,1199.284946236559,None,1.04,1
223279,1000,1200.4247311827958,None,1.072,1
223847,1000,1197.042780748663,None,1.044,1
225157,1000,1197.6436170212767,None,1.064,1
225226,1000,1198.0106382978724,None,1.063,1
225926,1000,1201.7340425531916,None,1.031,1
226620,1000,1199.047619047619,None,1.037,1
227686,1000,1198.3473684210526,None,1.051,1
229188,1000,1199.9371727748692,None,1.035,1
229610,1000,1195.8854166666667,None,1.026,1
231037,1000,1197.082901554404,None,1.027,1
232700,1000,1199.4845360824743,None,1.029,1
242932,1000,1196.7093596059112,None,1.018,1
243097,1000,1197.5221674876848,None,1.01,1
247492,1000,1201.4174757281553,None,1.007,1
253464,1000,1201.2511848341233,None,1.006,1
253504,1000,1201.4407582938388,None,1.008,1
257984,1000,1199.925581395349,None,1.037,1
258133,1000,1200.6186046511627,None,0.993,1
258339,1000,1201.5767441860464,None,1.034,1
259260,1000,1200.2777777777778,None,1.032,1
260709,1000,1201.4239631336407,None,1.034,1
261390,1000,1199.0366972477063,None,1.017,1
262144,1000,1197.0045662100456,None,1.016,1
